FOTO GAMA,'Calle de Francisco Bergamin Kalea, 41, 31004 Pamplona, Navarre, Spain',42.8094754,-1.6377321
FRITZ,'Calle Felipe Gorriti, 31, 31004 Pamplona, Navarre, Spain',42.8118339,-1.6361076
FUIG POLL,'31004 Pamplona, Navarre, Spain',42.8119569,-1.6335743
GASTEIZ,'Calle Navarro Villoslada, 4, 31003 Pamplona, Navarre, Spain',42.8124541,-1.6404049
GENERAL ÓPTICA,'Nafarroa Behereko Etorbidea, 2, 31003 Pamplona, Navarre, Spain',42.8127748,-1.6418828
GLOW,'C/ Tafalla, 20, 31003 Pamplona, Navarre, Spain',42.811744,-1.6382366
GORRICHO SISTEMAS DE DESCANSO,'Calle Yanguas y Miranda, 19, 31003 Pamplona, Navarre, Spain',42.8120221,-1.6449038
HALCÓN VIAJES,'Calle Paulino Caballero, 14, 31003 Pamplona, Navarre, Spain',42.8122364,-1.6397095
HEBRA DECORACIÓN TEXTIL,'Calle García Castañón, 2, 31002 Pamplona, Navarre, Spain',42.8150596,-1.644227
HERBORISTERÍA ECOTIENDA GOROSTI,'Calle de Francisco Bergamin Kalea, 15, 31003 Pamplona, Navarre, Spain',42.8121001,-1.6406427
HIPERPAPELERÍA CARLIN PAMPLONA,'Calle Sangüesa, 9, 31003 Pamplona, Navarre, Spain',42.81183,-1.6416408
IL CAFFÈ DI ROMA,'Avenida Carlos III, 51, 31004 Pamplona, Navarre, Spain',42.8118217,-1.6375149
INDA,'Calle Paulino Caballero, 18, 31003 Pamplona, Navarre, Spain',42.8117971,-1.6392187
INÉS MODA INFANTIL,'Calle de Francisco Bergamin Kalea, 7, 31003 Pamplona, Navarre, Spain',42.8126129,-1.6412187
INTERSPORT IRABIA,'Avenida Conde Oliveto, 5, 31003 Pamplona, Navarre, Spain',42.8126251,-1.6438629
INTERSPORT IRABIA,'Calle Benjamín de Tudela, 2, 31008 Pamplona, Navarre, Spain',42.8063227,-1.6719182
ÍNTIMO XARMANT,'Calle San Fermín, 10, 31004 Pamplona, Navarre, Spain',42.8128631,-1.6380359
J.M. EZCURDIA,'Calle Paulino Caballero, 41, 31003 Pamplona, Navarre, Spain',42.8107381,-1.637771
JAKOBITOS CARNICERÍA,'C/ Tafalla, 23, 31003 Pamplona, Navarre, Spain',42.8112304,-1.6388076
JAVIER ECHEVERRÍA JOYERO,'Avenida Roncesvalles, 6, 31002 Pamplona, Navarre, Spain',42.814572,-1.641941
